Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Days to Ship Scheduled
1,CA-2020-152156,8/11/2020 0:00,11/11/2020 0:00,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,6
2,CA-2020-152156,8/11/2020 0:00,11/11/2020 0:00,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,3
3,CA-2020-138688,12/6/2020 0:00,16/6/2020 0:00,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,3
14,CA-2020-161389,5/12/2020 0:00,10/12/2020 0:00,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,6
22,CA-2020-137330,9/12/2020 0:00,13/12/2020 0:00,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,6
23,CA-2020-137330,9/12/2020 0:00,13/12/2020 0:00,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,3
26,CA-2020-121755,16/1/2020 0:00,20/1/2020 0:00,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,1
27,CA-2020-121755,16/1/2020 0:00,20/1/2020 0:00,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741,1
36,CA-2020-117590,8/12/2020 0:00,10/12/2020 0:00,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,1
37,CA-2020-117590,8/12/2020 0:00,10/12/2020 0:00,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,1
43,CA-2020-101343,17/7/2020 0:00,22/7/2020 0:00,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,3
45,CA-2020-118255,11/3/2020 0:00,13/3/2020 0:00,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,6
46,CA-2020-118255,11/3/2020 0:00,13/3/2020 0:00,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,6
48,CA-2020-169194,20/6/2020 0:00,25/6/2020 0:00,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,6
49,CA-2020-169194,20/6/2020 0:00,25/6/2020 0:00,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,3
54,CA-2020-105816,11/12/2020 0:00,17/12/2020 0:00,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,1
55,CA-2020-105816,11/12/2020 0:00,17/12/2020 0:00,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,6
56,CA-2020-111682,17/6/2020 0:00,18/6/2020 0:00,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,6
57,CA-2020-111682,17/6/2020 0:00,18/6/2020 0:00,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,6
58,CA-2020-111682,17/6/2020 0:00,18/6/2020 0:00,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,6
59,CA-2020-111682,17/6/2020 0:00,18/6/2020 0:00,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,6
60,CA-2020-111682,17/6/2020 0:00,18/6/2020 0:00,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,6
61,CA-2020-111682,17/6/2020 0:00,18/6/2020 0:00,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,1
62,CA-2020-111682,17/6/2020 0:00,18/6/2020 0:00,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,1
70,CA-2020-119823,4/6/2020 0:00,6/6/2020 0:00,First Class,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,1
71,CA-2020-106075,18/9/2020 0:00,23/9/2020 0:00,Standard Class,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,6
